Date,Price,Open,High,Low,Vol.,Change %
03/28/20,"6,233.70","6,373.40","6,374.30","6,046.50",1.26M,-2.19%
03/27/20,"6,373.40","6,725.50","6,813.70","6,322.30",1.16M,-5.23%
03/26/20,"6,725.10","6,677.90","6,772.90","6,541.70",1.18M,0.69%
03/25/20,"6,678.90","6,744.80","6,930.20","6,474.60",1.52M,-0.97%
03/24/20,"6,744.60","6,468.80","6,814.20","6,380.80",1.73M,4.26%
03/23/20,"6,468.90","5,822.00","6,564.70","5,710.80",1.88M,11.11%
03/22/20,"5,822.10","6,186.90","6,394.40","5,771.20",1.48M,-5.89%
03/21/20,"6,186.20","6,205.60","6,438.30","5,887.00",1.64M,-0.31%
03/20/20,"6,205.30","6,171.60","6,858.10","5,748.20",2.22M,0.54%
03/19/20,"6,172.00","5,359.20","6,379.50","5,256.00",2.18M,15.12%
03/18/20,"5,361.40","5,260.70","5,373.10","5,020.90",1.80M,1.91%
03/17/20,"5,261.10","5,030.20","5,432.80","4,946.50",1.89M,4.59%
03/16/20,"5,030.00","5,366.40","5,369.30","4,477.70",2.55M,-6.27%
03/15/20,"5,366.30","5,182.90","5,863.30","5,120.60",1.61M,3.54%
03/14/20,"5,182.70","5,589.40","5,634.90","5,072.20",1.69M,-7.19%
03/13/20,"5,584.30","4,815.20","5,934.30","3,869.50",4.17M,15.71%
03/12/20,"4,826.00","7,935.20","7,963.10","4,546.60",3.22M,-39.18%
03/11/20,"7,935.10","7,892.10","7,976.50","7,606.00",1.10M,0.56%
03/10/20,"7,891.20","7,933.00","8,145.50","7,740.20",1.20M,-0.53%
03/09/20,"7,933.00","8,035.80","8,158.80","7,648.70",1.54M,-1.26%
03/08/20,"8,034.10","8,887.80","8,888.00","8,015.30",1.11M,-9.61%
03/07/20,"8,887.80","9,134.20","9,180.80","8,848.70",750.65K,-2.70%
03/06/20,"9,134.80","9,060.60","9,165.20","9,004.90",1.04M,0.82%
03/05/20,"9,060.30","8,757.90","9,147.30","8,751.50",950.76K,3.45%
03/04/20,"8,757.90","8,761.30","8,840.30","8,679.70",759.69K,-0.04%
03/03/20,"8,761.40","8,906.10","8,911.70","8,669.30",1.01M,-1.61%
03/02/20,"8,904.80","8,537.50","8,961.80","8,503.10",1.02M,4.27%
03/01/20,"8,540.00","8,543.80","8,737.20","8,437.20",784.05K,-0.04%
02/29/20,"8,543.70","8,697.10","8,793.70","8,539.80",683.44K,-1.77%
02/28/20,"8,697.50","8,820.10","8,898.70","8,451.90",1.08M,-1.37%
02/27/20,"8,818.60","8,800.10","8,968.30","8,538.50",1.13M,0.21%
02/26/20,"8,800.30","9,317.10","9,368.10","8,672.00",1.32M,-5.55%
02/25/20,"9,317.20","9,662.60","9,672.30","9,269.80",937.97K,-3.57%
02/24/20,"9,662.70","9,943.20","9,981.00","9,507.00",980.00K,-2.82%
02/23/20,"9,942.70","9,655.60","9,965.60","9,653.40",775.88K,2.97%
02/22/20,"9,655.70","9,684.50","9,706.50","9,569.80",589.88K,-0.30%
02/21/20,"9,684.50","9,602.20","9,747.10","9,574.50",716.61K,0.85%
02/20/20,"9,602.40","9,611.90","9,681.40","9,448.90",870.80K,-0.07%
02/19/20,"9,609.40","10,158.60","10,230.90","9,424.30",905.95K,-5.40%
02/18/20,"10,158.40","9,701.50","10,230.10","9,601.60",945.91K,4.71%
02/17/20,"9,701.40","9,931.70","9,951.50","9,468.90",961.88K,-2.32%
02/16/20,"9,932.30","9,907.40","10,056.40","9,654.90",808.91K,0.25%
02/15/20,"9,907.70","10,336.00","10,369.80","9,831.70",808.81K,-4.12%
02/14/20,"10,333.00","10,235.50","10,372.40","10,125.20",732.51K,0.96%
02/13/20,"10,235.10","10,321.90","10,482.60","10,116.90",940.30K,-0.80%
02/12/20,"10,317.70","10,229.30","10,435.60","10,229.30",803.25K,0.86%
02/11/20,"10,229.50","9,854.00","10,314.10","9,725.10",791.28K,3.81%
02/10/20,"9,854.10","10,151.50","10,181.70","9,774.80",781.22K,-2.93%
02/09/20,"10,151.50","9,895.40","10,157.10","9,882.70",617.35K,2.59%
02/08/20,"9,895.50","9,817.30","9,931.20","9,673.20",551.31K,0.78%
02/07/20,"9,818.60","9,771.90","9,872.50","9,738.70",608.96K,0.48%
02/06/20,"9,772.00","9,611.80","9,854.90","9,536.10",778.67K,1.67%
02/05/20,"9,611.80","9,194.10","9,726.80","9,179.90",771.46K,4.54%
02/04/20,"9,193.90","9,296.50","9,347.50","9,193.90",651.68K,-1.10%
02/03/20,"9,296.60","9,334.60","9,582.80","9,243.10",701.39K,-0.41%
02/02/20,"9,334.90","9,381.50","9,465.40","9,183.10",683.37K,-0.50%
02/01/20,"9,381.60","9,349.30","9,458.80","9,301.50",458.42K,0.35%
01/31/20,"9,349.10","9,508.30","9,525.00","9,222.30",633.37K,-1.66%
01/30/20,"9,507.30","9,299.10","9,569.00","9,209.20",765.21K,2.24%
01/29/20,"9,298.90","9,377.30","9,428.70","9,250.90",749.88K,-0.84%
01/28/20,"9,377.30","8,866.60","9,389.50","8,866.60",954.20K,5.76%
01/27/20,"8,866.60","8,608.10","8,983.10","8,585.60",706.45K,3.01%
01/26/20,"8,607.80","8,341.60","8,607.80","8,304.90",468.34K,3.19%
01/25/20,"8,341.60","8,439.90","8,447.60","8,277.20",444.00K,-1.17%
01/24/20,"8,439.90","8,404.90","8,522.00","8,242.60",617.02K,0.41%
01/23/20,"8,405.10","8,678.50","8,687.30","8,309.60",722.67K,-3.15%
01/22/20,"8,678.50","8,733.00","8,805.40","8,610.80",509.06K,-0.62%
01/21/20,"8,732.60","8,642.00","8,770.30","8,524.00",540.20K,1.05%
01/20/20,"8,641.90","8,705.70","8,740.10","8,539.20",599.06K,-0.74%
01/19/20,"8,706.20","8,916.30","9,183.70","8,552.80",975.01K,-2.36%
01/18/20,"8,916.30","8,913.00","8,982.30","8,814.60",627.74K,0.04%
01/17/20,"8,913.10","8,726.70","9,005.10","8,675.90",794.11K,2.13%
01/16/20,"8,726.90","8,818.10","8,850.00","8,605.80",748.32K,-1.04%
01/15/20,"8,818.30","8,827.90","8,904.00","8,615.50",1.17M,-0.12%
01/14/20,"8,829.20","8,111.20","8,898.70","8,111.20",1.48M,8.85%
01/13/20,"8,111.40","8,188.30","8,196.70","8,068.40",610.66K,-0.93%
01/12/20,"8,187.60","8,023.30","8,189.90","7,973.10",595.22K,2.04%
01/11/20,"8,024.10","8,187.80","8,262.90","8,008.40",776.75K,-1.99%
01/10/20,"8,187.10","7,842.50","8,187.40","7,697.70",1.05M,4.40%
01/09/20,"7,842.40","8,060.00","8,065.90","7,779.20",786.50K,-2.70%
01/08/20,"8,059.60","8,154.20","8,436.40","7,900.80",1.19M,-1.18%
01/07/20,"8,155.70","7,759.10","8,182.00","7,754.10",1.01M,5.11%
01/06/20,"7,759.10","7,372.60","7,783.10","7,366.70",786.75K,5.24%
01/05/20,"7,372.50","7,376.80","7,501.00","7,345.60",628.14K,-0.06%
01/04/20,"7,376.80","7,345.10","7,433.10","7,291.40",523.91K,0.46%
01/03/20,"7,343.10","6,967.10","7,402.90","6,884.10",936.29K,5.40%
01/02/20,"6,967.00","7,199.70","7,209.60","6,901.40",632.78K,-3.23%
01/01/20,"7,199.80","7,196.40","7,259.40","7,180.00",420.28K,0.05%
12/31/19,"7,196.40","7,261.50","7,331.00","7,167.40",586.60K,-0.90%
12/30/19,"7,261.80","7,397.50","7,420.90","7,244.10",606.11K,-1.84%
12/29/19,"7,397.50","7,321.60","7,518.90","7,303.00",611.69K,1.04%
12/28/19,"7,321.50","7,261.90","7,375.90","7,256.50",610.96K,0.82%
12/27/19,"7,261.70","7,210.80","7,293.80","7,128.50",718.07K,0.70%
12/26/19,"7,210.90","7,225.00","7,414.30","7,177.30",795.09K,-0.19%
12/25/19,"7,224.80","7,268.30","7,542.40","7,150.90",625.41K,-0.60%
12/24/19,"7,268.30","7,322.40","7,433.20","7,185.70",785.54K,-0.74%
12/23/19,"7,322.80","7,496.20","7,684.00","7,276.20",952.16K,-2.31%
12/22/19,"7,495.80","7,156.30","7,501.10","7,142.00",677.94K,4.74%
12/21/19,"7,156.20","7,196.40","7,197.60","7,129.60",468.74K,-0.56%
12/20/19,"7,196.40","7,165.50","7,218.40","7,107.70",627.04K,0.43%
12/19/19,"7,165.50","7,276.40","7,354.00","7,039.30",778.72K,-1.52%
12/18/19,"7,276.00","6,613.50","7,387.70","6,462.20",1.14M,10.02%
12/17/19,"6,613.30","6,903.50","6,943.50","6,575.00",894.55K,-4.20%
12/16/19,"6,903.50","7,128.50","7,153.10","6,864.60",689.56K,-3.16%
12/15/19,"7,128.50","7,080.80","7,175.80","7,033.80",492.58K,0.67%
12/14/19,"7,080.80","7,255.20","7,267.40","7,043.30",524.56K,-2.40%
12/13/19,"7,255.20","7,208.40","7,288.00","7,200.30",503.49K,0.65%
12/12/19,"7,208.00","7,208.00","7,272.40","7,124.60",611.80K,0.00%
12/11/19,"7,208.00","7,235.80","7,284.40","7,168.80",518.40K,-0.38%
12/10/19,"7,235.70","7,356.20","7,400.30","7,192.10",609.50K,-1.63%
12/09/19,"7,355.80","7,524.80","7,626.00","7,321.60",648.66K,-2.24%
12/08/19,"7,524.40","7,510.80","7,576.40","7,416.70",499.04K,0.18%
12/07/19,"7,510.90","7,530.40","7,595.70","7,489.60",557.14K,-0.26%
12/06/19,"7,530.80","7,399.20","7,552.10","7,329.80",706.10K,1.78%
12/05/19,"7,399.20","7,204.60","7,476.30","7,184.00",780.78K,2.70%
12/04/19,"7,204.40","7,291.90","7,702.20","7,113.60",971.75K,-1.20%
12/03/19,"7,291.80","7,298.10","7,389.40","7,227.10",548.77K,-0.09%
12/02/19,"7,298.20","7,395.90","7,433.80","7,173.60",687.78K,-1.33%
12/01/19,"7,396.40","7,546.50","7,546.50","7,244.40",777.00K,-1.99%
11/30/19,"7,546.60","7,742.70","7,787.70","7,472.70",650.60K,-2.53%
11/29/19,"7,742.70","7,426.60","7,825.30","7,412.30",766.71K,4.26%
11/28/19,"7,426.70","7,510.60","7,639.50","7,380.60",737.58K,-1.12%
11/27/19,"7,510.60","7,162.80","7,636.90","6,875.40",996.49K,4.86%
11/26/19,"7,162.80","7,115.50","7,329.50","7,045.10",844.27K,0.66%
11/25/19,"7,115.60","6,924.70","7,352.80","6,534.80",1.29M,2.76%
11/24/19,"6,924.70","7,325.00","7,344.10","6,894.90",904.50K,-5.45%
11/23/19,"7,324.10","7,271.60","7,342.50","7,093.70",783.18K,0.71%
11/22/19,"7,272.50","7,627.90","7,700.90","6,818.50",1.41M,-4.66%
11/21/19,"7,627.90","8,099.40","8,129.60","7,519.70",891.50K,-5.82%
11/20/19,"8,099.30","8,145.70","8,223.00","8,074.20",607.27K,-0.57%
11/19/19,"8,145.70","8,207.70","8,245.60","8,032.80",654.27K,-0.76%
11/18/19,"8,208.40","8,510.30","8,516.30","8,110.40",692.60K,-3.54%
11/17/19,"8,509.80","8,497.40","8,631.70","8,413.00",531.22K,0.15%
11/16/19,"8,497.30","8,476.20","8,532.80","8,450.70",471.16K,0.25%
11/15/19,"8,476.30","8,660.80","8,761.80","8,437.10",653.71K,-2.13%
11/14/19,"8,661.20","8,782.90","8,799.80","8,615.80",515.43K,-1.39%
11/13/19,"8,783.10","8,813.20","8,829.70","8,721.10",454.33K,-0.33%
11/12/19,"8,812.60","8,737.40","8,841.20","8,615.70",575.16K,0.87%
11/11/19,"8,736.90","9,036.90","9,066.40","8,649.40",601.16K,-3.32%
11/10/19,"9,036.80","8,804.70","9,092.90","8,763.50",581.57K,2.64%
11/09/19,"8,804.50","8,778.10","8,877.50","8,746.90",512.02K,0.30%
11/08/19,"8,778.20","9,223.60","9,254.80","8,722.40",791.79K,-4.83%
11/07/19,"9,223.50","9,339.20","9,367.00","9,130.00",603.54K,-1.24%
11/06/19,"9,338.90","9,311.20","9,424.60","9,262.70",578.03K,0.30%
11/05/19,"9,310.80","9,396.10","9,452.70","9,193.90",653.42K,-0.91%
11/04/19,"9,396.40","9,198.70","9,500.40","9,134.10",681.01K,2.15%
11/03/19,"9,198.30","9,300.50","9,359.10","9,095.00",536.56K,-1.10%
11/02/19,"9,300.60","9,230.30","9,356.70","9,201.20",570.74K,0.76%
11/01/19,"9,230.10","9,153.10","9,270.40","9,057.20",689.65K,0.85%
10/31/19,"9,152.60","9,157.90","9,378.90","8,959.60",798.93K,-0.06%
10/30/19,"9,157.90","9,411.30","9,411.30","9,018.40",789.73K,-2.69%
10/29/19,"9,411.30","9,206.50","9,531.30","9,125.30",918.48K,2.22%
10/28/19,"9,207.20","9,530.10","9,866.90","9,202.50",1.04M,-3.38%
10/27/19,"9,529.60","9,230.60","9,773.20","9,081.00",1.16M,3.24%
10/26/19,"9,230.60","8,658.40","10,540.00","8,061.80",1.78M,6.61%
10/25/19,"8,658.30","7,422.80","8,697.70","7,404.90",1.18M,16.65%
10/24/19,"7,422.70","7,476.80","7,501.50","7,366.30",586.49K,-0.73%
10/23/19,"7,477.00","8,031.00","8,055.00","7,329.20",892.08K,-6.90%
10/22/19,"8,031.40","8,207.40","8,289.10","8,017.70",570.39K,-2.15%
10/21/19,"8,208.20","8,224.10","8,315.30","8,155.70",489.40K,-0.18%
10/20/19,"8,223.40","7,957.40","8,288.50","7,889.60",513.91K,3.34%
10/19/19,"7,957.30","7,948.30","8,060.20","7,892.40",428.83K,0.11%
10/18/19,"7,948.50","8,073.30","8,116.40","7,842.00",505.79K,-1.55%
10/17/19,"8,073.30","8,000.40","8,118.20","7,944.40",444.95K,0.91%
10/16/19,"8,000.40","8,167.10","8,185.90","7,929.80",538.92K,-2.04%
10/15/19,"8,167.20","8,353.40","8,400.20","8,139.50",469.73K,-2.23%
10/14/19,"8,353.30","8,281.30","8,374.30","8,222.20",505.02K,0.87%
10/13/19,"8,281.50","8,304.30","8,450.20","8,190.60",419.87K,-0.28%
10/12/19,"8,304.40","8,267.60","8,394.80","8,260.90",424.02K,0.44%
10/11/19,"8,267.80","8,562.20","8,751.10","8,249.70",667.86K,-3.44%
10/10/19,"8,562.30","8,566.80","8,638.50","8,438.70",511.46K,-0.05%
10/09/19,"8,566.70","8,180.10","8,655.90","8,122.70",636.43K,4.69%
10/08/19,"8,182.90","8,198.50","8,323.10","8,118.10",469.04K,-0.19%
10/07/19,"8,198.60","7,882.60","8,293.50","7,797.00",604.74K,4.02%
10/06/19,"7,881.90","8,127.30","8,145.50","7,834.90",448.80K,-3.02%
10/05/19,"8,127.30","8,148.00","8,185.10","8,030.60",360.92K,-0.25%
10/04/19,"8,148.10","8,227.60","8,233.60","8,041.40",416.92K,-0.96%
10/03/19,"8,226.90","8,363.60","8,391.70","8,090.10",460.97K,-1.64%
10/02/19,"8,364.10","8,302.70","8,374.00","8,167.70",405.86K,0.74%
10/01/19,"8,302.70","8,285.00","8,486.20","8,187.90",533.95K,0.22%
09/30/19,"8,284.30","8,048.90","8,318.50","7,749.00",600.26K,2.92%
09/29/19,"8,049.10","8,208.00","8,226.80","7,922.10",418.48K,-1.94%
09/28/19,"8,208.50","8,184.50","8,297.20","8,031.10",457.79K,0.29%
09/27/19,"8,184.90","8,063.80","8,257.40","7,882.10",561.40K,1.50%
09/26/19,"8,063.80","8,432.50","8,463.10","7,773.60",731.03K,-4.37%
09/25/19,"8,432.40","8,512.30","8,729.80","8,245.10",696.11K,-0.96%
09/24/19,"8,513.90","9,702.70","9,793.80","8,069.40",933.16K,-12.25%
09/23/19,"9,702.20","10,031.30","10,048.80","9,656.30",431.10K,-3.28%
09/22/19,"10,031.60","9,993.00","10,075.00","9,870.90",337.06K,0.39%
09/21/19,"9,993.00","10,172.80","10,177.90","9,939.80",326.17K,-1.77%
09/20/19,"10,172.70","10,251.50","10,279.50","10,088.60",362.07K,-0.76%
09/19/19,"10,250.50","10,164.60","10,297.60","9,707.60",542.25K,0.84%
09/18/19,"10,164.70","10,195.70","10,257.50","10,119.30",318.82K,-0.30%
09/17/19,"10,195.70","10,254.60","10,273.60","10,153.50",321.64K,-0.58%
09/16/19,"10,255.50","10,311.30","10,360.50","10,108.50",372.53K,-0.54%
09/15/19,"10,311.50","10,337.30","10,360.40","10,272.00",255.79K,-0.25%
09/14/19,"10,337.30","10,342.20","10,421.40","10,253.70",326.44K,-0.05%
09/13/19,"10,342.10","10,415.20","10,441.40","10,174.10",365.52K,-0.70%
09/12/19,"10,415.10","10,162.40","10,447.90","10,051.00",413.22K,2.49%
09/11/19,"10,162.50","10,104.90","10,257.50","9,908.90",413.06K,0.57%
09/10/19,"10,105.40","10,308.70","10,379.80","9,970.70",383.22K,-1.98%
09/09/19,"10,309.00","10,402.10","10,478.00","10,095.70",473.76K,-0.90%
09/08/19,"10,402.80","10,461.60","10,578.00","10,266.30",339.73K,-0.56%
09/07/19,"10,461.10","10,306.90","10,556.40","10,302.30",393.57K,1.47%
09/06/19,"10,309.30","10,566.70","10,896.20","10,227.40",643.02K,-2.44%
09/05/19,"10,566.90","10,567.80","10,630.70","10,469.90",402.09K,-0.01%
09/04/19,"10,568.20","10,611.60","10,783.60","10,388.60",504.45K,-0.42%
09/03/19,"10,612.30","10,348.10","10,756.80","10,283.50",578.79K,2.55%
09/02/19,"10,348.80","9,728.80","10,431.50","9,720.30",542.79K,6.37%
09/01/19,"9,729.30","9,594.70","9,799.50","9,533.60",322.66K,1.41%
08/31/19,"9,594.40","9,585.50","9,677.50","9,457.30",311.49K,0.09%
08/30/19,"9,585.40","9,494.10","9,675.70","9,370.20",413.92K,0.99%
08/29/19,"9,491.00","9,729.10","9,729.10","9,343.00",509.13K,-2.45%
08/28/19,"9,729.40","10,184.70","10,271.30","9,629.60",580.29K,-4.47%
08/27/19,"10,184.80","10,372.20","10,387.60","10,060.20",419.81K,-1.80%
08/26/19,"10,371.80","10,136.00","10,568.20","10,136.00",568.77K,2.32%
08/25/19,"10,136.30","10,132.10","10,307.00","9,935.20",422.53K,0.05%
08/24/19,"10,131.00","10,389.40","10,415.90","9,917.50",463.85K,-2.48%
08/23/19,"10,388.70","10,104.90","10,434.30","9,921.40",436.26K,2.81%
08/22/19,"10,105.00","10,141.10","10,218.20","9,777.00",520.75K,-0.36%
08/21/19,"10,141.50","10,753.30","10,797.80","9,908.00",717.65K,-5.68%
08/20/19,"10,752.60","10,911.20","10,941.60","10,581.00",515.47K,-1.45%
08/19/19,"10,910.70","10,312.80","10,923.90","10,267.80",519.01K,5.80%
08/18/19,"10,312.70","10,219.30","10,494.90","10,086.70",441.11K,0.93%
08/17/19,"10,218.10","10,335.50","10,460.70","10,016.30",497.77K,-1.14%
08/16/19,"10,335.60","10,300.90","10,734.00","9,788.60",798.67K,0.31%
08/15/19,"10,303.40","10,053.30","10,448.20","9,580.10",930.05K,2.53%
08/14/19,"10,049.40","10,894.20","10,894.50","9,965.50",745.59K,-7.74%
08/13/19,"10,892.90","11,395.00","11,445.60","10,793.20",540.78K,-4.40%
08/12/19,"11,394.20","11,505.10","11,508.60","11,267.30",391.08K,-1.07%
08/11/19,"11,517.20","11,314.60","11,728.40","11,146.10",435.83K,1.79%
08/10/19,"11,314.50","12,090.50","12,185.00","11,281.60",570.74K,-6.41%
08/09/19,"12,089.80","12,190.00","12,225.30","11,885.00",558.72K,-0.84%
08/08/19,"12,191.60","12,015.90","12,236.60","11,727.00",592.15K,1.48%
08/07/19,"12,013.90","11,481.00","12,114.50","11,406.40",702.85K,4.64%
08/06/19,"11,480.90","11,817.60","12,291.90","11,237.00",807.58K,-2.84%
08/05/19,"11,816.80","10,934.80","11,922.30","10,934.80",769.63K,8.07%
08/04/19,"10,934.60","10,816.10","11,017.70","10,568.80",585.71K,1.10%
08/03/19,"10,815.70","10,519.90","10,893.60","10,504.50",508.75K,2.81%
08/02/19,"10,520.10","10,380.50","10,664.80","10,330.50",578.29K,1.35%
08/01/19,"10,380.00","10,081.90","10,459.00","9,890.60",608.37K,2.96%
07/31/19,"10,082.00","9,580.30","10,100.00","9,562.40",589.84K,5.23%
07/30/19,"9,580.70","9,580.00","9,703.00","9,483.00",511.51K,0.00%
07/29/19,"9,580.90","9,728.50","9,835.40","9,502.50",510.90K,-1.51%
07/28/19,"9,727.80","9,491.10","9,798.50","9,401.10",518.59K,2.48%
07/27/19,"9,492.10","9,830.40","10,232.30","9,389.10",661.89K,-3.45%
07/26/19,"9,831.00","9,945.20","10,436.10","9,724.20",493.75K,-1.15%
07/25/19,"9,945.30","9,804.70","10,203.50","9,776.60",545.85K,1.44%
07/24/19,"9,804.30","9,887.20","9,945.30","9,584.00",639.54K,-0.85%
07/23/19,"9,888.70","10,412.80","10,414.70","9,865.40",663.38K,-5.03%
07/22/19,"10,412.50","10,715.10","10,806.30","10,196.50",591.27K,-2.82%
07/21/19,"10,714.40","10,827.00","10,883.80","10,442.50",562.17K,-1.04%
07/20/19,"10,826.70","10,571.90","11,155.60","10,462.00",668.94K,2.41%
07/19/19,"10,571.50","10,651.60","10,758.40","10,160.70",727.79K,-0.75%
07/18/19,"10,651.40","9,723.10","10,787.10","9,390.00",974.49K,9.55%
07/17/19,"9,723.20","9,425.10","9,983.60","9,082.60",1.03M,3.17%
07/16/19,"9,424.80","10,844.00","11,019.50","9,375.30",1.05M,-13.10%
07/15/19,"10,845.90","10,199.90","11,064.70","9,885.40",956.52K,6.33%
07/14/19,"10,200.10","11,364.30","11,448.70","10,128.90",840.76K,-10.25%
07/13/19,"11,364.90","11,762.80","11,798.40","10,839.40",747.71K,-3.38%
07/12/19,"11,762.10","11,343.70","11,881.40","11,109.80",738.17K,3.70%
07/11/19,"11,342.30","12,111.60","12,111.60","11,029.00",943.13K,-6.34%
07/10/19,"12,110.60","12,542.80","13,134.40","11,594.90",1.11M,-3.44%
07/09/19,"12,541.50","12,250.60","12,772.90","12,111.20",847.84K,2.36%
07/08/19,"12,252.60","11,415.80","12,332.30","11,304.80",695.60K,7.33%
07/07/19,"11,415.90","11,267.90","11,524.60","11,108.10",601.93K,1.31%
07/06/19,"11,268.00","10,969.80","11,650.20","10,967.90",688.96K,2.71%
07/05/19,"10,970.20","11,159.70","11,381.80","10,810.30",772.67K,-1.73%
07/04/19,"11,163.10","11,899.30","11,948.00","11,087.10",840.34K,-6.20%
07/03/19,"11,900.80","10,835.90","11,931.80","10,835.90",998.73K,9.83%
07/02/19,"10,835.90","10,615.50","10,923.50","9,728.50",1.12M,2.07%
07/01/19,"10,616.60","10,821.40","11,254.50","10,041.60",1.04M,-1.87%
06/30/19,"10,818.60","11,906.00","12,179.30","10,765.40",880.77K,-9.14%
06/29/19,"11,906.50","12,408.00","12,422.90","11,490.80",834.62K,-4.05%
06/28/19,"12,409.10","11,288.40","12,461.80","10,970.50",1.09M,9.93%
06/27/19,"11,287.80","13,062.40","13,422.00","10,493.50",1.59M,-13.59%
06/26/19,"13,063.80","11,811.60","13,929.80","11,747.30",1.48M,10.62%
06/25/19,"11,809.90","11,046.60","11,833.90","11,033.70",781.09K,6.91%
06/24/19,"11,046.40","10,897.30","11,114.40","10,622.60",566.96K,1.37%
06/23/19,"10,897.10","10,721.50","11,361.30","10,557.80",683.79K,1.64%
06/22/19,"10,721.70","10,178.10","11,160.50","10,031.30",1.09M,5.33%
06/21/19,"10,179.30","9,517.70","10,184.30","9,517.40",769.12K,6.96%
06/20/19,"9,517.00","9,255.00","9,583.90","9,188.40",693.62K,2.83%
06/19/19,"9,255.40","9,080.70","9,295.10","9,044.00",587.57K,1.93%
06/18/19,"9,080.60","9,318.90","9,336.10","8,962.70",723.17K,-2.56%
06/17/19,"9,318.80","8,961.00","9,438.10","8,959.80",738.80K,3.98%
06/16/19,"8,962.50","8,812.20","9,332.00","8,771.10",849.77K,1.70%
06/15/19,"8,812.50","8,655.80","8,856.70","8,582.30",608.69K,1.81%
06/14/19,"8,656.10","8,218.60","8,685.30","8,153.20",643.17K,5.32%
06/13/19,"8,219.00","8,132.40","8,306.10","8,028.60",574.21K,1.06%
06/12/19,"8,133.10","7,888.00","8,198.10","7,805.80",607.89K,3.11%
06/11/19,"7,888.00","7,987.80","8,010.40","7,714.50",579.00K,-1.25%
06/10/19,"7,987.80","7,635.00","8,012.80","7,523.60",641.38K,4.62%
06/09/19,"7,635.00","7,901.60","7,937.50","7,516.90",554.48K,-3.37%
06/08/19,"7,901.40","7,985.30","8,044.40","7,770.50",485.81K,-1.05%
06/07/19,"7,985.20","7,785.80","8,099.40","7,749.40",588.87K,2.57%
06/06/19,"7,784.90","7,779.60","7,861.40","7,480.40",651.82K,0.08%
06/05/19,"7,779.10","7,685.60","7,885.00","7,590.40",762.94K,1.22%
06/04/19,"7,685.50","8,118.10","8,118.10","7,494.00",966.95K,-5.41%
06/03/19,"8,124.80","8,728.60","8,734.90","8,102.70",739.45K,-6.92%
06/02/19,"8,728.60","8,545.80","8,807.70","8,534.80",614.54K,2.14%
06/01/19,"8,545.70","8,556.90","8,615.80","8,454.00",686.75K,-0.15%
05/31/19,"8,558.30","8,271.40","8,578.80","8,135.00",858.41K,3.46%
05/30/19,"8,271.90","8,647.80","9,045.90","8,054.70",1.04M,-4.35%
05/29/19,"8,647.80","8,715.60","8,747.20","8,435.30",15.43M,-0.79%
05/28/19,"8,716.30","8,759.40","8,794.10","8,568.80",763.20K,-0.50%
05/27/19,"8,760.10","8,628.90","8,902.80","8,607.30",907.96K,1.51%
05/26/19,"8,630.20","8,029.60","8,718.60","7,866.50",872.12K,7.51%
05/25/19,"8,027.40","7,971.40","8,090.10","7,919.10",691.27K,0.72%
05/24/19,"7,970.10","7,852.80","8,124.10","7,775.40",868.47K,1.50%
05/23/19,"7,852.10","7,637.20","7,939.10","7,486.80",815.14K,2.83%
05/22/19,"7,635.70","7,928.70","7,999.00","7,545.90",821.40K,-3.72%
05/21/19,"7,930.30","7,965.00","8,056.80","7,813.20",804.88K,-0.44%
05/20/19,"7,965.30","8,156.40","8,156.40","7,604.00",958.81K,-2.35%
05/19/19,"8,157.20","7,261.90","8,253.40","7,252.30",1.08M,12.32%
05/18/19,"7,262.60","7,359.90","7,458.50","7,189.40",865.53K,-1.32%
05/17/19,"7,359.50","7,871.90","7,924.00","6,998.60",1.43M,-6.51%
05/16/19,"7,871.80","8,164.80","8,293.30","7,720.40",1.18M,-3.59%
05/15/19,"8,164.60","7,994.80","8,225.30","7,856.50",1.13M,2.13%
05/14/19,"7,994.60","7,806.40","8,323.90","7,674.00",1.33M,2.42%
05/13/19,"7,806.00","6,984.70","8,058.30","6,893.10",1.20M,11.76%
05/12/19,"6,984.80","7,190.00","7,518.90","6,802.60",1.35M,-2.86%
05/11/19,"7,190.30","6,386.60","7,373.80","6,386.50",1.31M,12.59%
05/10/19,"6,386.00","6,194.30","6,466.60","6,157.80",907.94K,3.14%
05/09/19,"6,191.50","5,990.50","6,206.00","5,990.00",799.96K,3.36%
05/08/19,"5,990.30","5,849.40","6,011.30","5,799.10",757.13K,2.41%
05/07/19,"5,849.50","5,745.50","6,019.80","5,745.50",955.88K,1.82%
05/06/19,"5,745.10","5,775.10","5,801.40","5,630.50",755.39K,-0.52%
05/05/19,"5,774.90","5,830.80","5,838.20","5,708.20",709.02K,-0.96%
05/04/19,"5,830.90","5,768.00","5,899.20","5,605.00",920.61K,1.11%
05/03/19,"5,766.80","5,493.60","5,844.20","5,478.70",1.04M,4.97%
05/02/19,"5,493.80","5,384.60","5,530.80","5,370.00",722.23K,2.04%
05/01/19,"5,384.20","5,321.10","5,396.30","5,319.50",623.64K,1.19%
04/30/19,"5,320.80","5,235.40","5,336.60","5,195.90",697.42K,1.64%
04/29/19,"5,235.00","5,302.40","5,322.90","5,188.90",775.82K,-1.27%
04/28/19,"5,302.30","5,265.70","5,332.50","5,234.40",681.41K,0.69%
